login_credentials_forgotten	login/password/forgotten
convo_wants_account_manager	conversation/human/account_manager
convo_not_technical	conversation/user/not_technical
convo_using_someone_else_account	account/shared_account/someone_else
convo_noisy_place	conversation/context/noisy_place
convo_driving	conversation/context/driving
convo_health_situation	conversation/context/health
convo_prayer_time	conversation/context/prayer
convo_traveling	conversation/context/traveling
convo_weak_internet	conversation/context/weak_internet
convo_borrowed_device	security/device/borrowed
convo_previous_employee_left	conversation/contact_person/left
convo_asking_for_someone_else	conversation/user/asking_for_other
convo_representing_company	conversation/user/company_rep
convo_when_feature_ships	platform/feature/eta
convo_asks_discount	subscription/discount/request
convo_trial_extension_request	billing/trial/request_extension_dup
convo_custom_development	platform/custom_development/request
convo_out_of_scope_service	conversation/scope/out_of_scope
convo_wants_founder	conversation/escalation/founder
convo_sla_guarantee	subscription/sla_guarantee/request
convo_uptime_history	platform/uptime/history
convo_company_longevity	conversation/company/longevity
convo_funding_question	conversation/company/funding
convo_rates_the_bot	conversation/bot/rating
convo_how_to_give_feedback	conversation/feedback/how_to
convo_bot_answered_wrong	conversation/bot/answer_wrong
convo_wants_human_to_verify	conversation/human/verify_answer
convo_previous_answer_wrong	conversation/bot/previous_answer_wrong
convo_reopen_old_conversation	conversation/history/reopen
convo_very_long_message	conversation/message_form/very_long
convo_many_short_messages	conversation/message_form/many_short
convo_writing_in_caps	conversation/message_form/all_caps
convo_formal_arabic	conversation/message_form/formal_arabic
convo_two_questions_at_once	conversation/message_form/two_questions
convo_repeats_same_question	conversation/repetition/same_question
convo_sends_a_link	conversation/message_form/link
convo_sends_phone_number	conversation/message_form/phone_number
convo_answers_out_of_order	conversation/flow/out_of_order
convo_started_typing_then_stopped	conversation/flow/typed_then_stopped
